"id","recipient_id","actor_id","type","title","body","entity_type","entity_id","is_read","created_at"
"a57e4f7c-63bd-404d-849b-c41e79cad028","4fb826a3-1675-4a72-ac14-dfc7d85fd31b","","SYSTEM","Judul Pengumuman Anda","Isi detail pengumuman yang ingin disampaikan ke seluruh pengguna.","","","false","2026-08-02T14:32:23.873Z"
"89b6c163-4369-47d3-89c6-dce432d8fdc6","91f7318a-67f5-446e-9fa8-a37e693bfcc4","","SYSTEM","Judul Pengumuman Anda","Isi detail pengumuman yang ingin disampaikan ke seluruh pengguna.","","","false","2026-08-02T14:32:23.907Z"
"310fe884-e969-496b-8e57-e226735ff134","646c0ef5-8f19-40e0-bf52-883d6581c517","","SYSTEM","Judul Pengumuman Anda","Isi detail pengumuman yang ingin disampaikan ke seluruh pengguna.","","","false","2026-08-02T14:32:23.911Z"
"1cb01b93-b94f-4a63-99c8-71ea858f4bed","7eb4b139-6508-454a-b77f-25f3744c2ec0","","SYSTEM","Judul Pengumuman Anda","Isi detail pengumuman yang ingin disampaikan ke seluruh pengguna.","","","false","2026-08-02T14:32:23.914Z"
"5d51281a-aff2-4b3f-9b90-80c5074be25d","0fce6dcf-dd06-43da-9248-152e5ff5e1ba","","SYSTEM","Judul Pengumuman Anda","Isi detail pengumuman yang ingin disampaikan ke seluruh pengguna.","","","false","2026-08-02T14:32:23.917Z"
"5eaa4f50-29fe-44e9-ad87-0482312fc03c","11111111-1111-1111-1111-111111111111","","SYSTEM","Judul Pengumuman Anda","Isi detail pengumuman yang ingin disampaikan ke seluruh pengguna.","","","false","2026-08-02T14:32:23.920Z"
"5e00a575-c191-4844-90f6-93078d52a2c0","91f7318a-67f5-446e-9fa8-a37e693bfcc4","","SYSTEM","Judul Pengumuman Anda","Isi detail pengumuman yang ingin disampaikan ke seluruh pengguna 2.","","","false","2026-08-02T14:37:01.622Z"
"98752cc5-df31-4908-87ed-20a5dbecd30a","4fb826a3-1675-4a72-ac14-dfc7d85fd31b","","SYSTEM","Judul Pengumuman Anda","Isi detail pengumuman yang ingin disampaikan ke seluruh pengguna 2.","","","false","2026-08-02T14:37:02.579Z"
"6b035095-074d-4160-a621-7c6b53b01809","646c0ef5-8f19-40e0-bf52-883d6581c517","","SYSTEM","Judul Pengumuman Anda","Isi detail pengumuman yang ingin disampaikan ke seluruh pengguna 2.","","","false","2026-08-02T14:37:02.611Z"
"1421a3c6-f65a-4e94-a1f7-4bc887e130f8","7eb4b139-6508-454a-b77f-25f3744c2ec0","","SYSTEM","Judul Pengumuman Anda","Isi detail pengumuman yang ingin disampaikan ke seluruh pengguna 2.","","","false","2026-08-02T14:37:02.613Z"
"710d1f17-c4dc-4f9c-aa0f-0c3a64b4a058","0fce6dcf-dd06-43da-9248-152e5ff5e1ba","","SYSTEM","Judul Pengumuman Anda","Isi detail pengumuman yang ingin disampaikan ke seluruh pengguna 2.","","","false","2026-08-02T14:37:02.615Z"
"a6a24d94-f261-4deb-88d0-b1c03431468c","11111111-1111-1111-1111-111111111111","","SYSTEM","Judul Pengumuman Anda","Isi detail pengumuman yang ingin disampaikan ke seluruh pengguna 2.","","","false","2026-08-02T14:37:02.617Z"
"e9a8a3aa-59f2-4b86-b2fe-de19f3cf5fd7","91f7318a-67f5-446e-9fa8-a37e693bfcc4","","SYSTEM","Tes Broadcast Realtime","Notifikasi via WebSocket tanpa auto-polling background!","","","false","2026-08-02T14:42:53.966Z"
"28ad11d5-7fc4-4c1b-92d5-b263a90f6871","4fb826a3-1675-4a72-ac14-dfc7d85fd31b","","SYSTEM","Tes Broadcast Realtime","Notifikasi via WebSocket tanpa auto-polling background!","","","false","2026-08-02T14:42:55.336Z"
"dd71353c-542c-489f-8c1d-419f07b0e6b4","646c0ef5-8f19-40e0-bf52-883d6581c517","","SYSTEM","Tes Broadcast Realtime","Notifikasi via WebSocket tanpa auto-polling background!","","","false","2026-08-02T14:42:55.360Z"
"bffbe53b-f56e-41c6-b415-acf5bbd012dc","7eb4b139-6508-454a-b77f-25f3744c2ec0","","SYSTEM","Tes Broadcast Realtime","Notifikasi via WebSocket tanpa auto-polling background!","","","false","2026-08-02T14:42:55.362Z"
"635f151f-7840-4bc3-80df-2211c1bcb700","0fce6dcf-dd06-43da-9248-152e5ff5e1ba","","SYSTEM","Tes Broadcast Realtime","Notifikasi via WebSocket tanpa auto-polling background!","","","false","2026-08-02T14:42:55.365Z"
"f7e66711-efbd-4131-b269-e5ddb8ccd840","11111111-1111-1111-1111-111111111111","","SYSTEM","Tes Broadcast Realtime","Notifikasi via WebSocket tanpa auto-polling background!","","","false","2026-08-02T14:42:55.367Z"
"213fc6d4-c7f6-47c3-b3a0-c9c9c9105010","91f7318a-67f5-446e-9fa8-a37e693bfcc4","","SYSTEM","Judul Pengumuman Anda","Isi detail pengumuman yang ingin disampaikan ke seluruh pengguna 2.","","","false","2026-08-02T14:44:13.639Z"
"97460633-546d-448e-91c5-90ca1f0799bf","4fb826a3-1675-4a72-ac14-dfc7d85fd31b","","SYSTEM","Judul Pengumuman Anda","Isi detail pengumuman yang ingin disampaikan ke seluruh pengguna 2.","","","false","2026-08-02T14:44:14.440Z"
